%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=215650, 2026/04/11 20:36:59.51)
66 1123 1.098702e+00 1.120722e+00  7.872437825374918248e+02  8.135273603021710187e+02  8.203825590442509110e+02  8.253812568866667334e+02
67 1140 1.091591e+00 1.120556e+00  7.872437825374918248e+02  8.126877560341773687e+02  8.223096459515340939e+02  8.345088541761922443e+02
68 1157 1.087895e+00 1.121304e+00  7.872437825374918248e+02  8.139885608014548097e+02  8.178791998285350928e+02  8.330876010026336189e+02
69 1174 1.079284e+00 1.121359e+00  7.872437825374918248e+02  8.107856726307176132e+02  8.175927254691799817e+02  8.310355738431476311e+02
70 1191 1.069618e+00 1.121359e+00  7.872437825374918248e+02  8.110134290919983187e+02  8.181584134164349962e+02  8.331644262403386847e+02
71 1208 1.057266e+00 1.123259e+00  7.872437825374918248e+02  8.104829382041170902e+02  8.170894955702493689e+02  8.375539953289171535e+02
72 1225 1.047419e+00 1.124359e+00  7.872437825374918248e+02  8.117414301487552848e+02  8.167795434274904665e+02  8.358892289857622018e+02
73 1242 1.038874e+00 1.125770e+00  7.872437825374918248e+02  8.096352560705636279e+02  8.172321692498040875e+02  8.291432047381498478e+02
74 1259 1.029591e+00 1.126547e+00  7.872437825374918248e+02  8.101605364172039572e+02  8.168623034000576126e+02  8.287552996358717792e+02
75 1276 1.024076e+00 1.127397e+00  7.872437825374918248e+02  8.108981457282499150e+02  8.183566052194751137e+02  8.277771699579241158e+02
76 1293 1.017304e+00 1.127397e+00  7.872437825374918248e+02  8.134881937603913684e+02  8.176905133982292000e+02  8.326906244337732232e+02
77 1310 1.009442e+00 1.130615e+00  7.872437825374918248e+02  8.117746575360652059e+02  8.154202407538410853e+02  8.266313054922910624e+02
78 1327 1.004178e+00 1.133713e+00  7.872437825374918248e+02  8.089970988703009880e+02  8.155078618754582749e+02  8.224086036183582564e+02
79 1344 9.990716e-01 1.135938e+00  7.872437825374918248e+02  8.076107319417786812e+02  8.150241659174391771e+02  8.342367389785797513e+02
80 1361 9.922250e-01 1.138412e+00  7.872437825374918248e+02  8.075568716599730124e+02  8.134942118214189577e+02  8.273479759164997631e+02
81 1378 9.844832e-01 1.141581e+00  7.872437825374918248e+02  8.065416498702857098e+02  8.151806470322520681e+02  8.237530841344359942e+02
82 1395 9.748204e-01 1.141581e+00  7.872437825374918248e+02  8.072969254649223103e+02  8.150417724886932547e+02  8.224420097687295765e+02
83 1412 9.651509e-01 1.147134e+00  7.872437825374918248e+02  8.075307645955200542e+02  8.138286275432458297e+02  8.234727231037551292e+02
84 1429 9.563417e-01 1.149524e+00  7.872437825374918248e+02  8.042511788177499739e+02  8.129538172552764763e+02  8.226782416333388710e+02
85 1446 9.451596e-01 1.151626e+00  7.872437825374918248e+02  8.068680061080681298e+02  8.127210109670486418e+02  8.189557233245516272e+02
86 1463 9.335190e-01 1.153579e+00  7.872437825374918248e+02  8.060947798170974465e+02  8.106538587560470432e+02  8.232970317474191688e+02
87 1480 9.211409e-01 1.153579e+00  7.872437825374918248e+02  8.062804808660771414e+02  8.135982041104335849e+02  8.191201109210087452e+02
88 1497 9.106879e-01 1.157382e+00  7.872437825374918248e+02  8.061200299347580085e+02  8.111358837989467929e+02  8.197024874936889773e+02
89 1514 9.007605e-01 1.159440e+00  7.872437825374918248e+02  8.050177541808601518e+02  8.092393476497895790e+02  8.192843248075161000e+02
90 1531 8.876394e-01 1.161034e+00  7.872437825374918248e+02  8.048667217322173428e+02  8.111885229352412807e+02  8.193603225785354880e+02
91 1548 8.755420e-01 1.162592e+00  7.872437825374918248e+02  8.051319063260918938e+02  8.103075021399752131e+02  8.142599929185747669e+02
92 1565 8.675778e-01 1.164095e+00  7.872437825374918248e+02  8.048042433411866341e+02  8.089958343646463845e+02  8.195592505801889729e+02
93 1582 8.598965e-01 1.164095e+00  7.872437825374918248e+02  8.041716044150256266e+02  8.072824313558728591e+02  8.170346720119181327e+02
