# x_m, y_m, w_tr_right_m, w_tr_left_m
18.46315139,28.09124999,1.1,1.1
18.46764171,27.63685065,1.1,1.1
18.41585008,27.18621572,1.1,1.1
18.3142961,26.74875222,1.1,1.1
18.17760988,26.32212637,1.1,1.1
18.02234832,25.90121538,1.1,1.1
17.8635491,25.48136618,1.1,1.1
17.70559858,25.06121967,1.1,1.1
17.54832625,24.64082583,1.1,1.1
17.39154454,24.2202401,1.1,1.1
17.23506563,23.79951803,1.1,1.1
17.07870185,23.3787149,1.1,1.1
16.92226553,22.95788624,1.1,1.1
16.76556894,22.53708751,1.1,1.1
16.60842441,22.11637398,1.1,1.1
16.4506442,21.6958011,1.1,1.1
16.29204073,21.27542442,1.1,1.1
16.13242618,20.8552993,1.1,1.1
15.97161287,20.4354812,1.1,1.1
15.80941495,20.01602493,1.1,1.1
15.64596849,19.59689176,1.1,1.1
15.48210007,19.17784235,1.1,1.1
15.31872532,18.75861121,1.1,1.1
15.15676018,18.33893295,1.1,1.1
14.99712019,17.91854216,1.1,1.1
14.84072108,17.49717345,1.1,1.1
14.68847878,17.0745614,1.1,1.1
14.54130883,16.65044063,1.1,1.1
14.40012706,16.22454563,1.1,1.1
14.2658493,15.79661111,1.1,1.1
14.13939109,15.36637166,1.1,1.1
14.02166827,14.93356179,1.1,1.1
13.91359666,14.49791618,1.1,1.1
13.81593498,14.05929914,1.1,1.1
13.7288371,13.61807545,1.1,1.1
13.6523112,13.17473063,1.1,1.1
13.58636518,12.72975009,1.1,1.1
13.53100705,12.28361923,1.1,1.1
13.48624489,11.83682358,1.1,1.1
13.45208508,11.38984737,1.1,1.1
13.42822835,10.94294961,1.1,1.1
13.41371545,10.49590258,1.1,1.1
13.40750051,10.04841507,1.1,1.1
13.40853812,9.600195792,1.1,1.1
13.41578239,9.150953474,1.1,1.1
13.42818781,8.700397007,1.1,1.1
13.44464587,8.248254158,1.1,1.1
13.46174878,7.794952284,1.1,1.1
13.47318158,7.341803017,1.1,1.1
13.47244272,6.890175062,1.1,1.1
13.45303057,6.441436672,1.1,1.1
13.40844366,5.996956552,1.1,1.1
13.33218028,5.558102956,1.1,1.1
13.21805443,5.126358728,1.1,1.1
13.06441386,4.704848009,1.1,1.1
12.87300572,4.297925683,1.1,1.1
12.64565942,3.909976563,1.1,1.1
12.38420409,3.545385283,1.1,1.1
12.09046932,3.208536566,1.1,1.1
11.76628424,2.903815047,1.1,1.1
11.41375371,2.634687826,1.1,1.1
11.03694251,2.398087834,1.1,1.1
10.64076634,2.188113532,1.1,1.1
10.23014386,1.998851873,1.1,1.1
9.80999394,1.824389993,1.1,1.1
9.385235594,1.658814667,1.1,1.1
8.960787585,1.49621312,1.1,1.1
8.540432566,1.331998229,1.1,1.1
8.123566399,1.166702683,1.1,1.1
7.708526128,1.00209486,1.1,1.1
7.29364907,0.839942956,1.1,1.1
6.877272181,0.682015169,1.1,1.1
6.457732777,0.530079787,1.1,1.1
6.033375542,0.385893233,1.1,1.1
5.603962668,0.249008111,1.1,1.1
5.172325661,0.114204759,1.1,1.1
4.741697589,-0.024360484,1.1,1.1
4.31531134,-0.172531279,1.1,1.1
3.896399891,-0.336151468,1.1,1.1
3.488196129,-0.521064622,1.1,1.1
3.094080427,-0.733149186,1.1,1.1
2.722820345,-0.979552185,1.1,1.1
2.389991999,-1.269024282,1.1,1.1
2.111579,-1.610374649,1.1,1.1
1.898390864,-2.004524144,1.1,1.1
1.750126599,-2.435454375,1.1,1.1
1.665046948,-2.884954184,1.1,1.1
1.641347314,-3.336965276,1.1,1.1
1.67697226,-3.783667012,1.1,1.1
1.76980694,-4.2192089,1.1,1.1
1.917735972,-4.637740628,1.1,1.1
2.11864433,-5.033411704,1.1,1.1
2.370416991,-5.400371635,1.1,1.1
2.670925178,-5.732775862,1.1,1.1
3.015794864,-6.025740585,1.1,1.1
3.395919391,-6.276407785,1.1,1.1
3.801592278,-6.482175765,1.1,1.1
4.223440028,-6.639020291,1.1,1.1
4.656623061,-6.723528607,1.1,1.1
5.098026047,-6.713772694,1.1,1.1
5.538969413,-6.644659127,1.1,1.1
5.974264594,-6.545571136,1.1,1.1
6.40455941,-6.42301296,1.1,1.1
6.830849853,-6.282123914,1.1,1.1
7.254132005,-6.128043399,1.1,1.1
7.67540204,-5.965910639,1.1,1.1
8.095655949,-5.800864945,1.1,1.1
8.515850272,-5.637811237,1.1,1.1
8.936411284,-5.478498389,1.1,1.1
9.35738536,-5.322416722,1.1,1.1
9.778810609,-5.169007392,1.1,1.1
10.20072532,-5.01771138,1.1,1.1
10.62316759,-4.867969932,1.1,1.1
11.04617571,-4.719224028,1.1,1.1
11.46978878,-4.571007756,1.1,1.1
11.8940539,-4.423486576,1.1,1.1
12.31902084,-4.277088562,1.1,1.1
12.74473995,-4.132242687,1.1,1.1
13.17126101,-3.989378012,1.1,1.1
13.59863418,-3.848923421,1.1,1.1
14.02690959,-3.711307885,1.1,1.1
14.45613706,-3.576960469,1.1,1.1
14.8863668,-3.446310143,1.1,1.1
15.31764889,-3.319785881,1.1,1.1
15.75003321,-3.197816656,1.1,1.1
16.18356999,-3.080831439,1.1,1.1
16.61830912,-2.969259204,1.1,1.1
